ИНН;КПП;ID СКУП;МРФ;Cубъект РФ;Полное наименование учреждения;Адрес учреждения;ФИО директора;Контактный телефон;Электронная почта;;;;;
107005957;10701001;204828;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 1"" Г. Адыгейск";Республика Адыгея (Адыгея), Г. Адыгейск, Пр-Кт В.И. Ленина, 16;Шхалахова Марьяна Руслановна;8(918)4294015;school1-01@yandex.ru;3;1;1;;
107006534;10701001;238409;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 2 Им. Х.Я. Беретаря"" Г. Адыгейска";Республика Адыгея (Адыгея), Г. Адыгейск, Пр-Кт В.И. Ленина, 30 А;Напцок Аминет Пшисовкановна;8(918)4852222;adygsch_2@mail.ru;3;1;1;;
107005918;10701001;204829;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 3 Имени Ю.И. Тлюстена"" Г. Адыгейск";Республика Адыгея (Адыгея), Г. Адыгейск, Ул. Пушкина, 15;Гадагатль Эмма Абубачировна;8(918)4164604;adygsoch_372@mail.ru;3;1;1;;
107006245;10701001;204830;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 4 Имени А.И. Хуаде"" Аул Гатлукай Г. Адыгейск";Республика Адыгея, (Адыгея), Г.Адыгейск, Аул Гатлукай, Ул. Теучежа, 2;Панеш Марзет Руслановна;8(918)1870834;gtlkschool@mail.ru;3;1;1;;
107006189;10701001;204831;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 5"" Х. Псекупс Г. Адыгейск";Республика Адыгея, (Адыгея), Г.Адыгейск, Х. Псекупс, Ул. Ленина, 13;Духу Сусана Рамазановна;8(918)4320100;psekups_school5@mail.ru;3;1;1;;
105032377;10501001;238421;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 2""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. 12 Марта, 126;Басниева Саида Борисовна;8-928-668-55-66;school2mkp@mail.ru;3;1;1;;
105032049;10501001;238415;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Майкопская Гимназия №5 Имени Евгения Львовича Шварца""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. Пушкина, 173;Баслинеева Саида Станиславовна;8-918-222-18-25;sch_5.06@mail.ru;3;1;1;;
105033902;10501001;204814;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 6"" Г. Майкоп";Республика Адыгея (Адыгея), Г. Майкоп, Ул. Комсомольская, 276;Шевоцукова Марина Николаевна;8-928-669-08-53;ou6_maykop@mail.ru;3;1;1;;
105033074;10501001;238423;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 7""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. Курганная, 331;Обернинов Виталий Викторович;8-918-222-20-28;school7.maykop@list.ru;3;1;1;;
105031969;10501001;238479;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 9""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. Советская, 108;Биржева Бэлла Муратовна;8-928-470-55-10;mboysch-9@yandex.ru;3;1;1;;
